move_id,name_es,name_en,type,category,power,accuracy,pp,priority,ailment,ailment_chance,created_at,description_es
53,Lanzallamas,flamethrower,fire,special,90,100,15,0,BRN,10,2026-03-06 13:23:24.248809+00,Ataca con una gran ráfaga de fuego que puede causar quemaduras.
54,Neblina,mist,ice,status,,,30,0,,0,2026-03-06 13:24:56.481237+00,Rodea de fina niebla al usuario y protege las características de su equipo durante cinco turnos.
55,Pistola Agua,water-gun,water,special,40,100,25,0,,0,2026-03-06 13:23:43.340489+00,Ataca disparando agua con gran potencia.
56,Hidrobomba,hydro-pump,water,special,110,80,5,0,,0,2026-03-06 13:23:39.158024+00,Lanza una gran masa de agua a presión para atacar.
57,Surf,surf,water,special,90,100,15,0,,0,2026-03-06 13:24:22.71896+00,Inunda el campo de batalla con una ola gigante. Fuera de batalla sirve para moverse sobre el agua.
58,Rayo Hielo,ice-beam,ice,special,90,100,10,0,FRZ,10,2026-03-06 13:29:00.273736+00,Rayo de hielo que puede llegar a congelar.
59,Ventisca,blizzard,ice,special,110,70,5,0,FRZ,10,2026-03-06 13:28:25.106588+00,Tormenta de hielo que puede llegar a congelar.
60,Psicorrayo,psybeam,psychic,special,65,100,20,0,,10,2026-03-06 13:24:24.46659+00,Extraño rayo que puede causar confusión.
61,Rayo Burbuja,bubble-beam,water,special,65,100,20,0,,0,2026-03-06 13:23:41.826503+00,Diluvio de burbujas que puede bajar la Velocidad.
62,Rayo Aurora,aurora-beam,ice,special,65,100,20,0,,0,2026-03-06 13:29:15.64495+00,Rayo multicolor que puede reducir el Ataque.
63,Hiperrayo,hyper-beam,normal,special,150,90,5,0,,0,2026-03-06 13:28:35.559854+00,"Es eficaz, pero el atacante deberá descansar en el siguiente turno."
64,Picotazo,peck,flying,physical,35,100,35,0,,0,2026-03-06 13:27:53.733121+00,Ensarta al objetivo con un cuerno o pico punzante.
65,Pico Taladro,drill-peck,flying,physical,80,100,20,0,,0,2026-03-06 13:30:18.1941+00,Picotazo giratorio y perforador muy potente.
66,Sumisión,submission,fighting,physical,80,80,20,0,,0,2026-03-06 13:24:54.938285+00,Tira al objetivo al suelo. También hiere al agresor.
67,Patada Baja,low-kick,fighting,physical,,100,20,0,,0,2026-03-06 13:24:46.080602+00,"Patada baja. Cuanto más pesa el objetivo, más daño causa."
68,Contraataque,counter,fighting,physical,,100,20,-5,,0,2026-03-06 13:26:46.272918+00,Devuelve un golpe físico por duplicado.
69,Sísmico,seismic-toss,fighting,physical,,100,20,0,,0,2026-03-06 13:25:17.430914+00,La gravedad derriba al objetivo. Se restarán tantos PS como nivel tenga el agresor.
70,Fuerza,strength,normal,physical,80,100,15,0,,0,2026-03-06 13:25:19.176868+00,Potente puñetazo. Fuera de combate sirve para mover rocas.
71,Absorber,absorb,grass,special,20,100,25,0,,0,2026-03-06 13:27:31.272263+00,Absorbe la mitad del daño producido en el objetivo para restaurar los PS del usuario.
72,Megaagotar,mega-drain,grass,special,40,100,15,0,,0,2026-03-06 13:27:30.594861+00,Absorbe la mitad del daño producido en el objetivo para restaurar los PS del usuario.
73,Drenadoras,leech-seed,grass,status,,90,10,0,,0,2026-03-06 13:23:11.262105+00,Planta semillas que absorben PS para recuperar la salud del usuario en cada turno.
74,Desarrollo,growth,normal,status,,,20,0,,0,2026-03-06 13:23:08.619729+00,El cuerpo del usuario crece a marchas forzadas y aumenta el Ataque y el Ataque Especial.
75,Hoja Afilada,razor-leaf,grass,physical,55,95,25,0,,0,2026-03-06 13:23:09.790554+00,Corta con hojas afiladas. Suele ser crítico.
76,Rayo Solar,solar-beam,grass,special,120,100,10,0,,0,2026-03-06 13:23:07.34828+00,Primer turno: absorbe luz. Segundo turno: lanza un potente rayo de energía.
77,Polvo Veneno,poison-powder,poison,status,,75,35,0,PSN,0,2026-03-06 13:23:10.667152+00,Polvo tóxico que envenena al objetivo.
78,Paralizador,stun-spore,grass,status,,75,30,0,PAR,0,2026-03-06 13:27:29.781478+00,Esparce polvo que paraliza al objetivo.
79,Somnífero,sleep-powder,grass,status,,75,15,0,SLP,0,2026-03-06 13:23:07.675802+00,Esparce polvo que duerme al objetivo.
80,Danza Pétalo,petal-dance,grass,special,120,100,10,0,,0,2026-03-06 13:23:19.590888+00,Lanza pétalos de dos a tres turnos y acaba confundiendo al atacante.
81,Disparo Demora,string-shot,bug,status,,95,40,0,,0,2026-03-06 13:31:58.372255+00,Lanza seda a los rivales y reduce mucho su Velocidad.
82,Furia Dragón,dragon-rage,dragon,special,,100,10,0,,0,2026-03-06 13:23:23.666411+00,Ráfaga de furiosas ondas de choque que quitan 40 PS.
83,Giro Fuego,fire-spin,fire,special,35,85,15,0,,100,2026-03-06 13:23:23.05227+00,Un aro de fuego que atrapa al objetivo de cuatro a cinco turnos.
84,Impactrueno,thunder-shock,electric,special,40,100,30,0,PAR,10,2026-03-06 13:24:07.519785+00,Ataque eléctrico que puede paralizar al objetivo.
85,Rayo,thunderbolt,electric,special,90,100,15,0,PAR,10,2026-03-06 13:23:56.589013+00,Potente ataque eléctrico que puede paralizar al objetivo.
86,Onda Trueno,thunder-wave,electric,status,,90,20,0,PAR,0,2026-03-06 13:23:59.302538+00,Una ligera descarga que paraliza al objetivo si lo alcanza.
87,Trueno,thunder,electric,special,110,70,10,0,PAR,30,2026-03-06 13:23:55.326963+00,Un poderoso rayo que daña al objetivo y puede paralizarlo.
88,Lanzarrocas,rock-throw,rock,physical,50,90,15,0,,0,2026-03-06 13:25:35.749596+00,Tira una pequeña roca al objetivo.
89,Terremoto,earthquake,ground,physical,100,100,10,0,,0,2026-03-06 13:25:33.360579+00,Un terremoto que afecta a los Pokémon de alrededor en combate.
90,Fisura,fissure,ground,physical,,30,5,0,,0,2026-03-06 13:42:29.809423+00,Abre una grieta en el suelo y mete al objetivo en ella. Fulmina en un golpe.
91,Excavar,dig,ground,physical,80,100,10,0,,0,2026-03-06 13:34:41.05765+00,Primer turno: cava. Segundo turno: ataca. También sirve para salir de ciertas zonas.
92,Tóxico,toxic,poison,status,,90,10,0,PSN,0,2026-03-06 13:26:16.810364+00,Envenena gravemente al objetivo y causa un daño mayor en cada turno.
93,Confusión,confusion,psychic,special,50,100,25,0,,10,2026-03-06 13:24:22.997185+00,Débil ataque telequinético que puede causar confusión.
94,Psíquico,psychic,psychic,special,90,100,10,0,,0,2026-03-06 13:25:01.64561+00,Fuerte ataque telequinético que puede bajar la Defensa Especial del objetivo.
95,Hipnosis,hypnosis,psychic,status,,60,20,0,SLP,0,2026-03-06 13:24:19.943999+00,Ataque hipnótico que hace dormir profundamente al objetivo.
96,Meditación,meditate,psychic,status,,,40,0,,0,2026-03-06 13:28:12.829101+00,El usuario reposa y medita para potenciar el Ataque.
97,Agilidad,agility,psychic,status,,,30,0,,0,2026-03-06 13:23:56.287602+00,Relaja el cuerpo para ganar mucha Velocidad.
98,Ataque Rápido,quick-attack,normal,physical,40,100,30,1,,0,2026-03-06 13:23:59.908042+00,Ataque rápido que permite golpear en primer lugar.
99,Furia,rage,normal,physical,20,100,20,0,,0,2026-03-06 13:23:25.723988+00,"Al usarse, aumenta el Ataque del usuario cada vez que es golpeado."
100,Teletransporte,teleport,psychic,status,,,20,-6,,0,2026-03-06 13:24:59.543569+00,Permite huir al instante de combates contra Pokémon salvajes o viajar al último Centro Pokémon visitado.
101,Tinieblas,night-shade,ghost,special,,100,15,0,,0,2026-03-06 13:25:05.345169+00,"Produce un espejismo ante el objetivo, que pierde tantos PS como nivel tenga el agresor."
102,Mimético,mimic,normal,status,,,10,0,,0,2026-03-06 13:28:14.206142+00,Copia el último movimiento usado por el objetivo. Dicho movimiento se podrá usar mientras el Pokémon no sea cambiado.
103,Chirrido,screech,normal,status,,85,40,0,,0,2026-03-06 13:24:13.315179+00,Alarido agudo que reduce mucho la Defensa del objetivo.
104,Doble Equipo,double-team,normal,status,,,15,0,,0,2026-03-06 13:23:59.008083+00,Crea copias de sí mismo para mejorar la Evasión.
105,Recuperación,recover,normal,status,,,5,0,,0,2026-03-06 13:25:02.838255+00,Restaura hasta la mitad de los PS máximos.
106,Fortaleza,harden,normal,status,,,30,0,,0,2026-03-06 13:25:34.829554+00,Tensa la musculatura del usuario para aumentar la Defensa.
107,Reducción,minimize,normal,status,,,10,0,,0,2026-03-06 13:27:23.000786+00,El usuario mengua para aumentar mucho la Evasión.
108,Pantalla de Humo,smokescreen,normal,status,,100,20,0,,0,2026-03-06 13:23:26.040899+00,Baja la Precisión del objetivo con una nube de humo o tinta.
109,Rayo Confuso,confuse-ray,ghost,status,,100,10,0,,0,2026-03-06 13:26:15.997104+00,Rayo siniestro que confunde al objetivo.
110,Refugio,withdraw,water,status,,,40,0,,0,2026-03-06 13:23:41.263747+00,El usuario se protege en su coraza y sube la Defensa.
111,Rizo Defensa,defense-curl,normal,status,,,40,0,,0,2026-03-06 13:25:36.71822+00,Se enrosca para ocultar su punto débil. Sube la Defensa.
112,Barrera,barrier,psychic,status,,,20,0,,0,2026-03-06 13:29:33.484801+00,Crea una barrera que aumenta mucho la Defensa.
113,Pantalla de Luz,light-screen,psychic,status,,,30,0,,0,2026-03-06 13:23:55.643081+00,Pared de luz que reduce durante cinco turnos el daño producido por los ataques especiales.
114,Niebla,haze,ice,status,,,30,0,,0,2026-03-06 13:24:57.168272+00,Neblina que elimina los cambios de características de todos los Pokémon en combate.
115,Reflejo,reflect,psychic,status,,,20,0,,0,2026-03-06 13:25:01.925581+00,Pared de luz que reduce durante cinco turnos el daño producido por los ataques físicos.
116,Foco Energía,focus-energy,normal,status,,,30,0,,0,2026-03-06 13:25:18.312316+00,Concentra energía para aumentar las posibilidades de un golpe crítico.
117,Venganza,bide,normal,physical,,,10,1,,0,2026-03-06 13:25:37.577826+00,Espera dos turnos para atacar con el doble de potencia del daño recibido.
118,Metrónomo,metronome,normal,status,,,10,0,,0,2026-03-06 13:30:34.562234+00,El usuario mueve un dedo y estimula su cerebro para usar al azar casi cualquier movimiento.
119,Espejo,mirror-move,flying,status,,,20,0,,0,2026-03-06 13:36:59.215891+00,Contraataca con el mismo movimiento empleado por el objetivo.
120,Autodestrucción,self-destruct,normal,physical,200,100,5,0,,0,2026-03-06 13:25:32.545296+00,El atacante explota y hiere a todos a su alrededor. El usuario se debilita de inmediato.
121,Bomba Huevo,egg-bomb,normal,physical,100,75,10,0,,0,2026-03-06 13:27:22.254334+00,Arroja un huevo al objetivo con gran fuerza.
122,Lengüetazo,lick,ghost,physical,30,100,30,0,PAR,30,2026-03-06 13:26:18.51415+00,Una lengua ataca al objetivo. Puede causar parálisis.
123,Polución,smog,poison,special,30,70,20,0,PSN,40,2026-03-06 13:26:18.809115+00,El objetivo es atacado con gases tóxicos que pueden llegar a envenenar.
124,Residuos,sludge,poison,special,65,100,20,0,PSN,30,2026-03-06 13:27:00.076997+00,Arroja residuos al objetivo. Puede llegar a envenenar.
125,Hueso Palo,bone-club,ground,physical,65,85,20,0,,0,2026-03-06 13:26:33.704712+00,Aporrea con un hueso. Puede hacer retroceder al objetivo.
126,Llamarada,fire-blast,fire,special,110,85,5,0,BRN,10,2026-03-06 13:28:35.894609+00,Llama intensa que chamusca y puede causar quemaduras.
127,Cascada,waterfall,water,physical,80,100,15,0,,0,2026-03-06 13:27:43.572783+00,Embiste con un gran impulso que puede hacer retroceder. También sirve para remontar cascadas.
128,Tenaza,clamp,water,physical,35,85,15,0,,100,2026-03-06 14:05:04.882569+00,Atrapa y atenaza con fuerza durante cuatro o cinco turnos.
129,Rapidez,swift,normal,special,60,,20,0,,0,2026-03-06 13:23:58.400805+00,Lanza rayos en forma de estrella que no fallan nunca.
130,Cabezazo,skull-bash,normal,physical,130,100,10,0,,100,2026-03-06 13:23:39.479352+00,Primer turno: se prepara y sube la Defensa del usuario. Segundo turno: da el cabezazo.
131,Clavo Cañón,spike-cannon,normal,physical,20,100,15,0,,0,2026-03-06 13:29:35.714676+00,Lanza finas púas que hieren de dos a cinco veces.
132,Restricción,constrict,normal,physical,10,100,35,0,,0,2026-03-06 13:31:57.188387+00,Constriñe para herir y puede bajar la Velocidad.
133,Amnesia,amnesia,psychic,status,,,20,0,,0,2026-03-06 13:23:21.765146+00,El usuario olvida sus preocupaciones y aumenta mucho la Defensa Especial.
134,Kinético,kinesis,psychic,status,,80,15,0,,0,2026-03-08 04:31:12.941315+00,Dobla una cuchara para distraer al objetivo y bajar su nivel de Precisión.
135,Amortiguador,soft-boiled,normal,status,,,5,0,,0,2026-03-06 13:27:22.535937+00,Restaura la mitad de los PS máximos del usuario. Fuera de combate se usa para transferir parte de sus PS a un aliado.
136,Pat. Salto Alta,high-jump-kick,fighting,physical,130,90,10,0,,0,2026-03-06 13:26:41.537545+00,"Salta muy alto y lanza una patada. Si falla, dañará al usuario."
137,Deslumbrar,glare,normal,status,,100,30,0,PAR,0,2026-03-06 13:34:43.328211+00,Intimida y asusta al objetivo con la mirada para dejarlo paralizado.
138,Comesueños,dream-eater,psychic,special,100,100,15,0,,0,2026-03-06 13:26:13.365987+00,Restaura al usuario la mitad del daño causado a un objetivo dormido.
139,Gas Venenoso,poison-gas,poison,status,,90,40,0,PSN,0,2026-03-06 13:26:18.190417+00,Lanza una nube de gas tóxico a los rivales. Produce envenenamiento.
140,Bombardeo,barrage,normal,physical,15,85,20,0,,0,2026-03-07 21:49:14.312447+00,Arroja esferas al objetivo entre dos y cinco veces seguidas.
141,Chupavidas,leech-life,bug,physical,80,100,10,0,,0,2026-03-06 13:29:46.668562+00,Restaura al usuario la mitad del daño causado al objetivo.
142,Beso Amoroso,lovely-kiss,normal,status,,75,10,0,SLP,0,2026-03-06 13:28:27.013111+00,"Con una cara que asusta, da un beso al objetivo y lo adormece."
143,Ataque Aéreo,sky-attack,flying,physical,140,90,5,0,,0,2026-03-06 13:30:08.876969+00,Ataque en dos turnos que suele ser crítico. Puede hacer retroceder al objetivo.
144,Transformación,transform,normal,status,,,10,0,,0,2026-03-06 13:29:04.014339+00,"El usuario se transforma en una copia del objetivo, con los mismos movimientos."
145,Burbuja,bubble,water,special,40,100,30,0,,0,2026-03-06 13:23:43.645892+00,Lanza burbujas a los contrincantes y puede reducir su Velocidad.
146,Puño Mareo,dizzy-punch,normal,physical,70,100,10,0,,20,2026-03-06 13:26:49.708739+00,Rítmicos puñetazos que pueden causar confusión.
147,Espora,spore,grass,status,,100,15,0,SLP,0,2026-03-06 13:39:18.369478+00,Esparce esporas que inducen al sueño.
148,Destello,flash,normal,status,,100,20,0,,0,2026-03-06 13:25:05.848526+00,Luz cegadora que baja la Precisión del objetivo.
149,Psicoonda,psywave,psychic,special,,100,15,0,,0,2026-03-06 13:28:04.211775+00,Ataque con una onda de energía de intensidad variable.
150,Salpicadura,splash,normal,status,,,40,0,,0,2026-03-06 13:28:51.735317+00,No tiene ningún efecto. Solo salpica.
151,Armadura Ácida,acid-armor,poison,status,,,20,0,,0,2026-03-06 13:29:13.876095+00,Transforma la estructura celular para hacerse líquido y aumenta mucho la Defensa.
152,Martillazo,crabhammer,water,physical,100,90,10,0,,0,2026-03-06 13:34:46.623579+00,Golpea con fuerza con una pinza enorme. Suele ser crítico.
153,Explosión,explosion,normal,physical,250,100,5,0,,0,2026-03-06 13:25:33.069436+00,El atacante causa una grandísima explosión y hiere a todos a su alrededor. El usuario se debilita de inmediato.
154,Golpes Furia,fury-swipes,normal,physical,18,80,15,0,,0,2026-03-06 13:23:26.335188+00,Araña rápidamente de dos a cinco veces.
155,Huesomerang,bonemerang,ground,physical,50,90,10,0,,0,2026-03-06 13:26:31.412779+00,Lanza un hueso a modo de bumerán que golpea dos veces.
156,Descanso,rest,psychic,status,,,5,0,,0,2026-03-06 13:25:51.345307+00,Restaura todos los PS y cura todos los problemas de estado del usuario. Duerme los dos próximos turnos.
157,Avalancha,rock-slide,rock,physical,75,90,10,0,,0,2026-03-06 13:25:35.448543+00,Lanza grandes pedruscos. Puede amedrentar al objetivo.
158,Hipercolmillo,hyper-fang,normal,physical,80,90,15,0,,0,2026-03-06 13:47:14.949886+00,Ataque con finos colmillos. Puede hacer retroceder al objetivo.
159,Afilar,sharpen,normal,status,,,30,0,,0,2026-03-06 13:29:32.524221+00,El perfil del usuario se hace más afilado y su Ataque mejora.
160,Conversión,conversion,normal,status,,,30,0,,0,2026-03-06 13:29:31.183353+00,Cambia el tipo del usuario por el del primero de sus movimientos.
161,Triataque,tri-attack,normal,special,80,100,10,0,,20,2026-03-06 13:26:07.717452+00,"Ataque triple que puede paralizar, quemar o congelar al objetivo."
162,Superdiente,super-fang,normal,physical,,90,10,0,,0,2026-03-06 13:47:14.03304+00,Finos colmillos que reducen a la mitad los PS del objetivo.
163,Cuchillada,slash,normal,physical,70,100,20,0,,0,2026-03-06 13:23:24.544032+00,Ataca con cuchillas o con pinzas. Suele dar un golpe crítico.
164,Sustituto,substitute,normal,status,,,10,0,,0,2026-03-06 13:25:04.314296+00,Utiliza parte de los PS propios para crear un sustituto que actúa como señuelo.
165,Forcejeo,struggle,normal,physical,50,,1,0,,0,2026-03-08 04:31:16.885105+00,Solo se usa como último recurso al acabarse los PP. Hiere un poco al agresor.
166,Esquema,sketch,normal,status,,,1,0,,0,2026-03-07 22:00:14.043787+00,Aprende de forma permanente el último movimiento utilizado por el objetivo. Es de un solo uso.
167,Triple Patada,triple-kick,fighting,physical,10,90,10,0,,0,2026-03-06 14:13:43.106292+00,Patea hasta tres veces seguidas y cada vez más fuerte.
168,Ladrón,thief,dark,physical,60,100,25,0,,0,2026-03-06 13:37:33.167461+00,"Ataca y le quita al objetivo el objeto que lleve. Si el agresor lleva un objeto, no robará el del objetivo."
169,Telaraña,spider-web,bug,status,,,10,0,,0,2026-03-06 13:31:55.389543+00,Enreda al objetivo para evitar que abandone la batalla.
170,Telépata,mind-reader,normal,status,,,5,0,,0,2026-03-06 13:24:54.049553+00,El usuario adivina los movimientos del objetivo para hacer que su siguiente ataque no falle.
171,Pesadilla,nightmare,ghost,status,,100,15,0,,0,2026-03-06 13:26:13.966605+00,El objetivo dormido sufre una pesadilla que le hace perder PS en cada turno.
172,Rueda Fuego,flame-wheel,fire,physical,60,100,25,0,BRN,10,2026-03-06 13:24:35.334285+00,Ataca envuelto en fuego. Puede causar quemaduras.
173,Ronquido,snore,normal,special,50,100,15,0,,0,2026-03-06 13:30:06.069099+00,Fuerte ronquido que solo puede usarse dormido. Puede hacer retroceder al objetivo.
174,Maldición,curse,ghost,status,,,10,0,,0,2026-03-06 13:25:52.961301+00,Un movimiento que tiene efectos distintos si el usuario es de tipo Fantasma o no.
175,Azote,flail,normal,physical,,100,15,0,,0,2026-03-06 13:27:52.050623+00,"Ataque frenético. Cuantos menos PS tenga el usuario, más daño producirá."
176,Conversión2,conversion-2,normal,status,,,30,0,,0,2026-03-06 13:29:32.2267+00,El usuario cambia de tipo para hacerse resistente al último tipo de movimiento usado por el objetivo.
177,Aerochorro,aeroblast,flying,special,100,95,5,0,,0,2026-03-06 13:36:30.233858+00,Lanza un chorro de aire que suele dar un golpe crítico.
178,Esporagodón,cotton-spore,grass,status,,100,40,0,,0,2026-03-06 13:32:34.743717+00,Adhiere esporas a los rivales para reducir mucho su Velocidad.
179,Inversión,reversal,fighting,physical,,100,15,0,,0,2026-03-06 13:24:32.369578+00,Ataque desesperado que causa más daño cuantos menos PS tenga el usuario.
180,Rencor,spite,ghost,status,,100,10,0,,0,2026-03-06 13:26:17.591211+00,Da rienda suelta a su rencor para reducir cuatro PP del último movimiento usado por el objetivo.
181,Nieve Polvo,powder-snow,ice,special,40,100,25,0,FRZ,10,2026-03-06 13:28:29.386625+00,Lanza nieve que puede llegar a congelar.
182,Protección,protect,normal,status,,,10,4,,0,2026-03-06 13:23:40.980639+00,"Frena todos los ataques, pero puede fallar si se usa repetidamente."
183,Ultrapuño,mach-punch,fighting,physical,40,100,30,1,,0,2026-03-06 13:25:20.28049+00,Puñetazo que se da rápido para golpear primero.
184,Cara Susto,scary-face,normal,status,,100,10,0,,0,2026-03-06 13:23:24.827846+00,Asusta al objetivo para reducir mucho su Velocidad.
